Company,Rating,Reviews,Industry & Location
TCS,3.6,(98.1k),IT Services & Consulting | Bangalore / Bengaluru +413 other locations
Accenture,3.8,(63.3k),IT Services & Consulting | Bangalore / Bengaluru +227 other locations
Wipro,3.7,(57.3k),IT Services & Consulting | Bangalore / Bengaluru +358 other locations
Cognizant,3.7,(54.4k),IT Services & Consulting | Hyderabad / Secunderabad +212 other locations
Capgemini,3.7,(46.1k),IT Services & Consulting | Bangalore / Bengaluru +172 other locations
HDFC Bank,3.9,(43.5k),Banking | Mumbai +1693 other locations
Infosys,3.6,(42.9k),IT Services & Consulting | Bangalore / Bengaluru +228 other locations
ICICI Bank,4.0,(41.9k),Banking | Mumbai +1392 other locations
HCLTech,3.5,(39.6k),IT Services & Consulting | Chennai +216 other locations
Tech Mahindra,3.5,(38.1k),IT Services & Consulting | Hyderabad / Secunderabad +320 other locations
Genpact,3.8,(35.8k),IT Services & Consulting | Hyderabad / Secunderabad +160 other locations
Teleperformance,3.9,(32.4k),BPO | Mumbai +245 other locations
Concentrix Corporation,3.7,(28.5k),BPO | Bangalore / Bengaluru +165 other locations
Axis Bank,3.7,(28.2k),Banking | Mumbai +1421 other locations
Amazon,4.0,(27.2k),Internet | Bangalore / Bengaluru +498 other locations
Jio,4.0,(25.7k),Telecom | Mumbai +1416 other locations
iEnergizer,4.7,(24.8k),BPO | Noida +44 other locations
Reliance Retail,3.9,(24.1k),Retail | Mumbai +1086 other locations
IBM,4.0,(23.5k),IT Services & Consulting | Bangalore / Bengaluru +159 other locations
LTIMindtree,3.7,(22.7k),IT Services & Consulting | Bangalore / Bengaluru +133 other locations
HDB Financial Services,3.9,(22.3k),NBFC | Mumbai +1028 other locations
Larsen & Toubro Limited,3.9,(20.2k),Engineering & Construction | Chennai +706 other locations
Deloitte,3.7,(19.6k),Management Consulting | Hyderabad / Secunderabad +165 other locations
Kotak Mahindra Bank,3.7,(19.2k),Banking | Mumbai +648 other locations
Reliance Industries ,4.0,(17.5k),Oil & Gas | Jamnagar +761 other locations
BYJU'S,3.1,(16.4k),EdTech | Bangalore / Bengaluru +321 other locations
Vodafone Idea,4.0,(16.2k),Telecom | Pune +685 other locations
Bharti Airtel,3.9,(15.1k),Telecom | Gurgaon / Gurugram +749 other locations
WNS,3.3,(13.1k),BPO | Pune +56 other locations
Tata Motors,4.2,(12.9k),Automobile | Pune +485 other locations
AU Small Finance Bank,4.2,(12.4k),Banking | Jaipur +723 other locations
IndusInd Bank,3.5,(12k),Banking | Mumbai +751 other locations
Ernst & Young,3.4,(12k),Management Consulting | Bangalore / Bengaluru +120 other locations
IDFC FIRST Bank,3.9,(11.7k),Banking | Mumbai +662 other locations
Flipkart,3.9,(11.5k),Internet | Bangalore / Bengaluru +542 other locations
DXC Technology,3.7,(10.8k),IT Services & Consulting | Bangalore / Bengaluru +127 other locations
Infosys BPM ,3.6,(10.7k),BPO | Bangalore / Bengaluru +87 other locations
Mahindra & Mahindra,4.1,(10.5k),Automobile | Pune +530 other locations
Bajaj Finserv,4.0,(10.4k),Financial Services | Pune +1049 other locations
PwC,3.4,(10.4k),Management Consulting | Bangalore / Bengaluru +120 other locations
HDFC Life,3.9,(10.2k),Insurance | Mumbai +639 other locations
Conneqt Business Solutions,3.6,(9.3k),BPO | Hyderabad / Secunderabad +252 other locations
Mphasis,3.3,(9.1k),IT Services & Consulting | Bangalore / Bengaluru +57 other locations
Bandhan Bank,3.7,(8.7k),Banking | Kolkata +907 other locations
Yes Bank,3.7,(8.7k),Banking | Mumbai +497 other locations
Tata Steel,4.0,(8.4k),Iron & Steel | Jamshedpur +212 other locations
Startek,3.1,(8.3k),Bangalore / Bengaluru +99 other locations
Quess,3.8,(8.1k),BPO | Bangalore / Bengaluru +650 other locations
Asian Paints,4.0,(8.1k),Chemicals | Mumbai +502 other locations
Paytm,3.2,(8.1k),FinTech | Noida +375 other locations
UltraTech Cement,4.2,(7.9k),Building Material | Mumbai +486 other locations
Maruti Suzuki,4.2,(7.8k),Automobile | Gurgaon / Gurugram +409 other locations
Samsung,3.9,(7.7k),Consumer Electronics & Appliances | Noida +553 other locations
Shriram Finance,4.0,(7.7k),NBFC | Chennai +1033 other locations
Ericsson,4.1,(7.6k),Telecom | Noida +157 other locations
EXL Service,3.7,(7.7k),IT Services & Consulting | Noida +58 other locations
Muthoot Fincorp,4.5,(7.6k),NBFC | Bangalore / Bengaluru +892 other locations
Sutherland Global Services,3.5,(7.7k),IT Services & Consulting | Chennai +72 other locations
 Bajaj Finance,4.0,(7.6k),NBFC | Pune +878 other locations
Cipla,4.1,(7.4k),Pharma | Mumbai +268 other locations
Dr. Reddy's,4.0,(7.3k),Pharma | Hyderabad / Secunderabad +199 other locations
HGS,3.8,(7.1k),BPO | Bangalore / Bengaluru +117 other locations
Wells Fargo,3.8,(7.2k),Financial Services | Bangalore / Bengaluru +26 other locations
Amazon Development Centre India,4.0,(6.9k),Internet | Hyderabad / Secunderabad +135 other locations
ICICI Prudential Life Insurance,4.0,(6.9k),Insurance | Mumbai +484 other locations
JPMorgan Chase & Co.,3.9,(6.8k),Financial Services | Bangalore / Bengaluru +51 other locations
Jana Small Finance Bank,3.8,(6.6k),Banking | Bangalore / Bengaluru +390 other locations
Optum Global Solutions,4.0,(6.8k),IT Services & Consulting | Hyderabad / Secunderabad +50 other locations
Delhivery,3.8,(6.6k),Logistics | Gurgaon / Gurugram +698 other locations
Hexaware Technologies,3.5,(6.6k),IT Services & Consulting | Chennai +65 other locations
Lupin,4.1,(6.5k),Pharma | Pune +188 other locations
L&T Construction,4.0,(6.5k),Engineering & Construction | Chennai +401 other locations
JSW Steel,3.9,(6.5k),Iron & Steel | Ballari +168 other locations
Zydus Lifesciences,4.1,(6.4k),Pharma | Ahmedabad +168 other locations
Hindustan Unilever ,4.2,(6.4k),FMCG | Mumbai +497 other locations
Equitas Small Finance Bank,4.4,(6.4k),Banking | Chennai +430 other locations
Sun Pharmaceutical Industries,4.0,(6.3k),Pharma | Vadodara +234 other locations
ITC,3.9,(6.2k),FMCG | Bangalore / Bengaluru +352 other locations
KPMG India,3.5,(6.2k),Management Consulting | Bangalore / Bengaluru +103 other locations
Ujjivan Small Finance Bank,4.1,(6k),Banking | Bangalore / Bengaluru +500 other locations
Ekart Logistics,3.9,(6k),Bangalore / Bengaluru +693 other locations
Axis Max Life Insurance,4.0,(6k),Insurance | New Delhi +455 other locations
FIS,3.9,(5.9k),FinTech | Pune +57 other locations
HCL Group,3.6,(5.8k),IT Services & Consulting | Chennai +92 other locations
Tata Projects,4.2,(5.7k),Engineering & Construction | Mumbai +262 other locations
Megha Engineering & Infrastructures,3.9,(5.7k),Engineering & Construction | Hyderabad / Secunderabad +363 other locations
IIFL Finance,4.0,(5.6k),NBFC | Mumbai +750 other locations
Indian Army,4.7,(5.6k),Defence & Aerospace | New Delhi +345 other locations
Oracle,3.7,(5.6k),Software Product | Bangalore / Bengaluru +53 other locations
L&T Technology Services,3.3,(5.5k),IT Services & Consulting | Bangalore / Bengaluru +87 other locations
Coforge,3.3,(5.5k),IT Services & Consulting | Noida +100 other locations
Muthoot Finance,3.6,(5.4k),NBFC | Bangalore / Bengaluru +721 other locations
eClerx,3.2,(5.4k),IT Services & Consulting | Pune +28 other locations
JLL,4.1,(5.4k),Real Estate | Gurgaon / Gurugram +73 other locations
Virtusa Consulting Services,3.7,(5.4k),IT Services & Consulting | Hyderabad / Secunderabad +50 other locations
Bajaj Allianz Life Insurance,3.9,(5.4k),Insurance | Pune +562 other locations
Omega Healthcare,3.7,(5.4k),BPO | Chennai +63 other locations
HSBC Group,3.9,(5.3k),Financial Services | Bangalore / Bengaluru +60 other locations
Udaan,3.9,(5.2k),Internet | Bangalore / Bengaluru +349 other locations
Aurobindo Pharma,4.0,(5.1k),Pharma | Hyderabad / Secunderabad +101 other locations
Indiamart Intermesh,3.6,(5.2k),Internet | Noida +163 other locations
Siemens,4.0,(5.1k),Industrial Automation | Bangalore / Bengaluru +146 other locations
Cholamandalam Investment & Finance,3.9,(5.1k),Financial Services | Chennai +752 other locations
Shapoorji Pallonji Group,4.1,(5.1k),Engineering & Construction | Mumbai +184 other locations
Standard Chartered,3.6,(5.1k),Banking | Chennai +67 other locations
DMart,3.9,(5k),Retail | Mumbai +231 other locations
ICICI Lombard General Insurance Company,3.6,(5k),Insurance | Mumbai +292 other locations
Apollo Hospitals,4.1,(4.9k),Healthcare | Chennai +210 other locations
Firstsource Solutions,3.6,(5k),BPO | Bangalore / Bengaluru +65 other locations
CGI Group,4.0,(5k),IT Services & Consulting | Bangalore / Bengaluru +41 other locations
Bosch Global Software Technologies,3.8,(4.9k),IT Services & Consulting | Bangalore / Bengaluru +39 other locations
GlobalLogic,3.6,(5k),IT Services & Consulting | Hyderabad / Secunderabad +53 other locations
Cyient,3.7,(4.9k),IT Services & Consulting | Hyderabad / Secunderabad +42 other locations
BigBasket,3.9,(4.9k),Internet | Bangalore / Bengaluru +126 other locations
Ashok Leyland,4.1,(4.9k),Automobile | Chennai +230 other locations
Citicorp,3.7,(4.8k),Financial Services | Pune +65 other locations
 UST,3.8,(4.9k),IT Services & Consulting | Bangalore / Bengaluru +48 other locations
Mahindra Finance,4.0,(4.8k),NBFC | Mumbai +689 other locations
SMFG India Credit,3.9,(4.8k),NBFC | Mumbai +554 other locations
Hero MotoCorp,4.1,(4.8k),Automobile | Gurgaon / Gurugram +338 other locations
Manappuram Finance,3.9,(4.7k),NBFC | Bangalore / Bengaluru +577 other locations
JustDial,3.5,(4.7k),Internet | Noida +206 other locations
Eviden,3.6,(4.6k),IT Services & Consulting | Pune +36 other locations
Swiggy,3.8,(4.6k),Internet | Bangalore / Bengaluru +214 other locations
Vivo,4.1,(4.6k),Consumer Electronics & Appliances | Noida +400 other locations
BNY,3.8,(4.5k),Financial Services | Pune +22 other locations
IQVIA,3.8,(4.5k),Clinical Research | Bangalore / Bengaluru +58 other locations
Kalpataru Projects International,4.1,(4.5k),Engineering & Construction | Mumbai +287 other locations
SBI Cards & Payment Services,3.7,(4.5k),Financial Services | New Delhi +394 other locations
TVS Motor,3.9,(4.4k),Automobile | Hosur +324 other locations
Atos,3.8,(4.5k),IT Services & Consulting | Pune +48 other locations
Home Credit Finance,4.1,(4.4k),NBFC | Gurgaon / Gurugram +125 other locations
CBRE,4.1,(4.4k),Real Estate | Hyderabad / Secunderabad +85 other locations
Persistent Systems,3.6,(4.4k),IT Services & Consulting | Pune +41 other locations
PolicyBazaar,3.7,(4.4k),Internet | Gurgaon / Gurugram +126 other locations
Nagarro,4.0,(4.3k),IT Services & Consulting | Gurgaon / Gurugram +47 other locations
OPPO,4.0,(4.2k),Consumer Electronics & Appliances | Greater Noida +387 other locations
Amdocs,3.7,(4.3k),Software Product | Pune +21 other locations
JBM Group,4.0,(4.3k),Auto Components | Gurgaon / Gurugram +103 other locations
State Bank of India,3.8,(4.3k),Banking | Mumbai +555 other locations
SBI Life Insurance Company,3.8,(4.3k),Insurance | Mumbai +597 other locations
NTT Data,3.8,(4.3k),IT Services & Consulting | Bangalore / Bengaluru +67 other locations
Schneider Electric,4.1,(4.2k),Industrial Automation | Bangalore / Bengaluru +116 other locations
Nagarjuna Construction Company,4.1,(4.2k),Engineering & Construction | Hyderabad / Secunderabad +261 other locations
Bosch,4.2,(4.2k),Auto Components | Bangalore / Bengaluru +115 other locations
Dell,3.9,(4.2k),Consumer Electronics & Appliances | Bangalore / Bengaluru +109 other locations
Hewlett Packard Enterprise,4.2,(4.1k),IT Services & Consulting | Bangalore / Bengaluru +96 other locations
Mahindra Logistics,3.9,(4.1k),Logistics | Mumbai +226 other locations
Ecom Express,3.9,(4.2k),Logistics | Gurgaon / Gurugram +693 other locations
KEC International,4.0,(4k),Engineering & Construction | Mumbai +293 other locations
Piramal Capital Housing Finance,4.2,(4.1k),NBFC | Mumbai +361 other locations
Varun Beverages,4.0,(4k),Beverage | New Delhi +334 other locations
Aditya Birla Fashion and Retail,4.1,(4k),Fashion & Textile | Bangalore / Bengaluru +265 other locations
Randstad,3.7,(4k),Recruitment | Hyderabad / Secunderabad +308 other locations
Deutsche Bank,3.9,(3.9k),Banking | Pune +42 other locations
Hyundai Motor India Limited,4.3,(3.9k),Automobile | Chennai +272 other locations
CARS24 ,3.5,(3.9k),Internet | Gurgaon / Gurugram +164 other locations
Havells,3.9,(3.8k),Electrical Equipment | Noida +227 other locations
ITC Infotech ,3.7,(4k),IT Services & Consulting | Bangalore / Bengaluru +63 other locations
EY Global Delivery Services ( EY GDS),3.5,(3.8k),Accounting & Auditing | Bangalore / Bengaluru +47 other locations
R1 RCM,3.9,(3.8k),BPO | New Delhi +42 other locations
Intas Pharmaceuticals,4.1,(3.8k),Pharma | Ahmedabad +134 other locations
L&T Finance,3.9,(3.8k),NBFC | Mumbai +549 other locations
Bajaj Auto,3.8,(3.7k),Automobile | Pune +290 other locations
Team Lease,3.9,(3.7k),Recruitment | Bangalore / Bengaluru +371 other locations
Oyo Rooms,3.3,(3.6k),Internet | Gurgaon / Gurugram +118 other locations
Reliance Communications,4.0,(3.6k),Telecom | Mumbai +455 other locations
Tata AIA Life Insurance,4.0,(3.7k),Insurance | Mumbai +388 other locations
Access Healthcare,3.9,(3.7k),Analytics & KPO | Chennai +48 other locations
John Deere,4.1,(3.6k),Industrial Machinery | Pune +136 other locations
Tata Communications,4.0,(3.6k),Telecom | Pune +98 other locations
Macleods Pharmaceuticals,3.6,(3.6k),Pharma | Mumbai +115 other locations
Hetero,3.8,(3.7k),Pharma | Hyderabad / Secunderabad +59 other locations
Thermax Limited,4.2,(3.6k),Industrial Machinery | Pune +222 other locations
LG Electronics,3.9,(3.6k),Consumer Electronics & Appliances | Pune +278 other locations
Royal Enfield,4.2,(3.6k),Automobile | Chennai +346 other locations
HDFC Ergo General Insurance,3.9,(3.5k),Insurance | Mumbai +296 other locations
Aakash Educational Services,3.4,(3.5k),Education & Training | New Delhi +230 other locations
VE Commercial Vehicles,4.0,(3.5k),Automobile | Indore +144 other locations
Utkarsh Small Finance Bank,3.8,(3.6k),Banking | Varanasi +352 other locations
Carelon Global Solutions,3.9,(3.5k),Software Product | Bangalore / Bengaluru +17 other locations
Cummins,4.3,(3.5k),Industrial Machinery | Pune +106 other locations
DCB Bank,3.8,(3.5k),Banking | Mumbai +326 other locations
Viatris,4.2,(3.4k),Pharma | Hyderabad / Secunderabad +75 other locations
Berger Paints,3.7,(3.4k),Chemicals | Kolkata +302 other locations
Bank of America,4.2,(3.4k),Banking | Gurgaon / Gurugram +33 other locations
 Publicis Sapient,3.5,(3.4k),IT Services & Consulting | Bangalore / Bengaluru +44 other locations
Jubilant Foods Works,3.7,(3.4k),Hospitality | New Delhi +233 other locations
American Express,4.1,(3.4k),Financial Services | Gurgaon / Gurugram +49 other locations
PVR Inox,3.9,(3.4k),Media & Entertainment | New Delhi +148 other locations
Hindalco Industries,4.2,(3.4k),Metals & Mining | Sambalpur +112 other locations
Jindal Steel and Power,3.9,(3.4k),Iron & Steel | Angul +154 other locations
Subros,3.8,(3.4k),Auto Components | Noida +79 other locations
Lenskart,3.2,(3.5k),Internet | New Delhi +211 other locations
Automatic Data Processing (ADP),4.0,(3.4k),Software Product | Hyderabad / Secunderabad +37 other locations
RBL Bank,3.6,(3.3k),Banking | Mumbai +253 other locations
Alembic Pharmaceuticals,4.0,(3.4k),Pharma | Vadodara +171 other locations
Pidilite Industries,4.3,(3.3k),Chemicals | Mumbai +280 other locations
Samvardhana Motherson Group,3.7,(3.3k),Auto Components | Noida +86 other locations
Godrej & Boyce Manufacturing,3.9,(3.3k),Consumer Electronics & Appliances | Mumbai +143 other locations
State Street Corporation,3.7,(3.3k),Financial Services | Bangalore / Bengaluru +30 other locations
Abbott,4.1,(3.3k),Pharma | Mumbai +193 other locations
Sodexo,4.1,(3.3k),Facility Management Services | Mumbai +146 other locations
Bharat Electronics,4.2,(3.2k),Electronics Manufacturing | Bangalore / Bengaluru +73 other locations
Dabur,3.9,(3.2k),FMCG | New Delhi +294 other locations
Maersk,4.1,(3.2k),Logistics | Pune +45 other locations
Birlasoft,3.6,(3.2k),IT Services & Consulting | Pune +45 other locations
Escorts Kubota Limited,4.1,(3.2k),Automobile | Faridabad +141 other locations
Aarti Industries,4.1,(3.2k),Agro Chemicals | Bharuch +53 other locations
Indian Oil Corporation,4.4,(3.2k),Oil & Gas | New Delhi +290 other locations
Synechron,3.5,(3.2k),IT Services & Consulting | Pune +31 other locations
Reliance Digital,4.1,(3.2k),Retail | Mumbai +354 other locations
Motilal Oswal Financial Services,3.6,(3.2k),Financial Services | Mumbai +150 other locations
PNB MetLife,3.4,(3.2k),Insurance | New Delhi +380 other locations
Ipca Laboratories,3.9,(3.1k),Pharma | Mumbai +148 other locations
Reliance Projects & Property Management Services,4.0,(3.2k),IT Services & Consulting | Kolkata +573 other locations
Cogent E Services,3.2,(3.2k),Noida +47 other locations
Glenmark Pharmaceuticals,3.9,(3.1k),Pharma | Mumbai +159 other locations
Kyndryl,4.0,(3.2k),IT Services & Consulting | Bangalore / Bengaluru +33 other locations
Ford Motor,4.3,(3.1k),Automobile | Chennai +123 other locations
"NTT DATA, Inc.",4.0,(3.1k),IT Services & Consulting | Bangalore / Bengaluru +32 other locations
Kogta Financial India Limited,4.7,(3.1k),NBFC | Jaipur +231 other locations
Johnson Controls,3.6,(3.1k),Industrial Automation | Pune +52 other locations
UBS,3.9,(3.1k),Financial Services | Pune +19 other locations
Kotak Mahindara Life Insurance,3.7,(3.1k),Insurance | Mumbai +234 other locations
JK Cement,4.1,(3.1k),Building Material | New Delhi +295 other locations
MRF Tyres,3.6,(3.1k),Auto Components | Chennai +181 other locations
Alkem Laboratories,3.9,(3.1k),Pharma | Mumbai +179 other locations
Aditya Birla Sun Life Insurance,4.0,(3.1k),Insurance | Mumbai +437 other locations
24/7 Customer,3.5,(3.1k),Software Product | Bangalore / Bengaluru +35 other locations
Future Group,4.2,(3k),Retail | Mumbai +204 other locations
Grasim Industries,4.0,(3.1k),Building Material | Bharuch +204 other locations
KPIT Technologies,3.3,(3k),Software Product | Pune +40 other locations
Marpu Foundation ,4.8,(3k),Non-Profit | Hyderabad / Secunderabad +57 other locations
Vishal Mega Mart,3.7,(3k),Retail | New Delhi +345 other locations
Tata Capital,4.0,(3k),NBFC | Mumbai +291 other locations
Honda Motorcycle & Scooter ,4.1,(3k),Automobile | Gurgaon / Gurugram +260 other locations
IGT Solutions,3.3,(3k),IT Services & Consulting | New Delhi +46 other locations
Hindustan Coca Cola Beverages,4.1,(3k),Beverage | Bangalore / Bengaluru +243 other locations
HARMAN,3.8,(3k),Consumer Electronics & Appliances | Bangalore / Bengaluru +36 other locations
Ceat Tyres,4.0,(3k),Auto Components | Nagpur +128 other locations
NatWest Group,4.1,(3k),Banking | Gurgaon / Gurugram +24 other locations
Reliance Nippon Life Insurance,3.6,(3k),Insurance | Mumbai +462 other locations
Indian Air Force,4.6,(3k),Defence & Aerospace | New Delhi +128 other locations
ABB,4.1,(2.9k),Industrial Machinery | Bangalore / Bengaluru +101 other locations
DTDC Express,3.7,(2.9k),Logistics | New Delhi +250 other locations
